节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）,计算Z的坐标（米）,差距（米）
B438,228.4259,87.2490,-174.4976,-193.0780,18.5804
E440,-228.4259,87.2490,-174.4976,-193.0780,18.5804
B440,236.0840,63.6800,-174.4976,-193.0780,18.5804
E438,-236.0840,63.6800,-174.4976,-193.0780,18.5804
A438,-12.3910,244.2080,-174.4976,-193.0775,18.5799
A440,12.3910,244.2080,-174.4976,-193.0775,18.5799
C439,143.6637,-197.7360,-174.6462,-193.1710,18.5248
D439,-143.6637,-197.7360,-174.6462,-193.1710,18.5248
B439,232.4528,75.5290,-174.6462,-193.1707,18.5245
E439,-232.4528,75.5290,-174.6462,-193.1707,18.5245
A439,0.0000,244.4160,-174.6462,-193.1703,18.5241
C427,59.3370,-236.8050,-175.0499,-193.4237,18.3738
D410,-59.3370,-236.8050,-175.0499,-193.4237,18.3738
C410,206.8792,-129.6090,-175.0499,-193.4236,18.3737
D427,-206.8792,-129.6090,-175.0499,-193.4236,18.3737
A410,-91.1861,226.4570,-175.0499,-193.4233,18.3734
A427,91.1861,226.4570,-175.0499,-193.4233,18.3734
B427,243.5515,-16.7440,-175.0499,-193.4233,18.3734
E410,-243.5515,-16.7440,-175.0499,-193.4233,18.3734
B410,187.1954,156.7030,-175.0499,-193.4228,18.3729
E427,-187.1954,156.7030,-175.0499,-193.4228,18.3729
C405,19.8229,-243.1410,-175.2979,-193.5792,18.2813
D381,-19.8229,-243.1410,-175.2979,-193.5792,18.2813
C381,225.1159,-93.9870,-175.2979,-193.5788,18.2809
D405,-225.1159,-93.9870,-175.2979,-193.5788,18.2809
B405,237.3671,-56.2820,-175.2979,-193.5787,18.2808
E381,-237.3671,-56.2820,-175.2979,-193.5787,18.2808
A381,-126.8780,208.3580,-175.2979,-193.5782,18.2803
A405,126.8780,208.3580,-175.2979,-193.5782,18.2803
B381,158.9522,185.0550,-175.2979,-193.5780,18.2801
E405,-158.9522,185.0550,-175.2979,-193.5780,18.2801
C426,69.3059,-232.7910,-176.7629,-194.5011,17.7382
D411,-69.3059,-232.7910,-176.7629,-194.5011,17.7382
C411,199.9809,-137.8500,-176.7629,-194.5011,17.7382
D426,-199.9809,-137.8500,-176.7629,-194.5011,17.7382
B411,192.9009,147.5950,-176.7629,-194.5010,17.7381
E426,-192.9009,147.5950,-176.7629,-194.5010,17.7381
A411,-80.7616,229.0690,-176.7629,-194.5010,17.7381
A426,80.7616,229.0690,-176.7629,-194.5010,17.7381
B426,242.8143,-6.0220,-176.7629,-194.5010,17.7381
E411,-242.8143,-6.0220,-176.7629,-194.5010,17.7381
C404,29.7042,-240.4740,-177.5659,-195.0106,17.4447
D382,-29.7042,-240.4740,-177.5659,-195.0106,17.4447
B404,237.8843,-46.0600,-177.5659,-195.0099,17.4440
E382,-237.8843,-46.0600,-177.5659,-195.0099,17.4440
C382,219.5261,-102.5610,-177.5659,-195.0099,17.4440
D404,-219.5261,-102.5610,-177.5659,-195.0099,17.4440
A382,-117.3164,212.0080,-177.5659,-195.0098,17.4439
A404,117.3164,212.0080,-177.5659,-195.0098,17.4439
B382,165.3788,177.0890,-177.5659,-195.0095,17.4436
E404,-165.3788,177.0890,-177.5659,-195.0095,17.4436
C425,79.1676,-228.4890,-178.2278,-195.4315,17.2037
D412,-79.1676,-228.4890,-178.2278,-195.4315,17.2037
B425,241.7707,4.6860,-178.2278,-195.4309,17.2031
E412,-241.7707,4.6860,-178.2278,-195.4309,17.2031
C412,192.8425,-145.9000,-178.2278,-195.4309,17.2031
D425,-192.8425,-145.9000,-178.2278,-195.4309,17.2031
B412,198.3508,138.3190,-178.2278,-195.4306,17.2028
E425,-198.3508,138.3190,-178.2278,-195.4306,17.2028
A412,-70.2549,231.3860,-178.2278,-195.4306,17.2028
A425,70.2549,231.3860,-178.2278,-195.4306,17.2028
C352,229.7287,-74.6430,-178.5868,-195.6601,17.0733
E352,-229.7287,-74.6430,-178.5868,-195.6601,17.0733
D352,0.0000,-241.5510,-178.5868,-195.6601,17.0733
B352,141.9801,195.4190,-178.5868,-195.6600,17.0732
A352,-141.9801,195.4190,-178.5868,-195.6600,17.0732
C413,185.7466,-153.4370,-179.4304,-196.2004,16.7700
D424,-185.7466,-153.4370,-179.4304,-196.2004,16.7700
C424,88.5289,-224.0700,-179.4304,-196.2004,16.7700
D413,-88.5289,-224.0700,-179.4304,-196.2004,16.7700
B424,240.4605,14.9550,-179.4304,-196.2001,16.7697
E413,-240.4605,14.9550,-179.4304,-196.2001,16.7697
B413,203.3267,129.2410,-179.4304,-196.2000,16.7696
E424,-203.3267,129.2410,-179.4304,-196.2000,16.7696
A413,-60.0838,233.3130,-179.4304,-196.1999,16.7695
A424,60.0838,233.3130,-179.4304,-196.1999,16.7695
C383,213.6690,-111.0090,-179.6177,-196.3207,16.7030
D403,-213.6690,-111.0090,-179.6177,-196.3207,16.7030
C403,39.5493,-237.5150,-179.6177,-196.3206,16.7029
D383,-39.5493,-237.5150,-179.6177,-196.3206,16.7029
B403,238.1118,-35.7820,-179.6177,-196.3205,16.7028
E383,-238.1118,-35.7820,-179.6177,-196.3205,16.7028
B383,171.6040,168.9080,-179.6177,-196.3200,16.7023
E403,-171.6040,168.9080,-179.6177,-196.3200,16.7023
A383,-107.6119,215.4010,-179.6177,-196.3199,16.7022
A403,107.6119,215.4010,-179.6177,-196.3199,16.7022
C423,97.8130,-219.3020,-180.4967,-196.8871,16.3904
D414,-97.8130,-219.3020,-180.4967,-196.8871,16.3904
C414,178.3434,-160.7940,-180.4967,-196.8865,16.3898
D423,-178.3434,-160.7940,-180.4967,-196.8865,16.3898
B423,238.7952,25.2580,-180.4967,-196.8864,16.3897
E414,-238.7952,25.2580,-180.4967,-196.8864,16.3897
B414,208.0354,119.9270,-180.4967,-196.8862,16.3895
E423,-208.0354,119.9270,-180.4967,-196.8862,16.3895
A414,-49.7705,234.9130,-180.4967,-196.8862,16.3895
A423,49.7705,234.9130,-180.4967,-196.8862,16.3895
C378,9.9195,-239.3800,-181.2145,-197.3513,16.1368
D353,-9.9195,-239.3800,-181.2145,-197.3513,16.1368
C353,224.5992,-83.4060,-181.2145,-197.3509,16.1364
D378,-224.5992,-83.4060,-181.2145,-197.3509,16.1364
B378,230.7298,-64.5380,-181.2145,-197.3509,16.1364
E353,-230.7298,-64.5380,-181.2145,-197.3509,16.1364
A353,-132.6793,199.4940,-181.2145,-197.3504,16.1359
A378,132.6793,199.4940,-181.2145,-197.3504,16.1359
B353,148.7294,187.8330,-181.2145,-197.3504,16.1359
E378,-148.7294,187.8330,-181.2145,-197.3504,16.1359
C415,170.7090,-167.9740,-181.3369,-197.4306,16.0937
D422,-170.7090,-167.9740,-181.3369,-197.4306,16.0937
C422,107.0016,-214.2610,-181.3369,-197.4300,16.0931
D415,-107.0016,-214.2610,-181.3369,-197.4300,16.0931
B415,212.5055,110.4470,-181.3369,-197.4300,16.0931
E422,-212.5055,110.4470,-181.3369,-197.4300,16.0931
B422,236.8396,35.5550,-181.3369,-197.4300,16.0931
E415,-236.8396,35.5550,-181.3369,-197.4300,16.0931
A415,-39.3734,236.2350,-181.3369,-197.4298,16.0929
A422,39.3734,236.2350,-181.3369,-197.4298,16.0929
C402,49.6047,-234.0100,-181.7102,-197.6729,15.9627
D384,-49.6047,-234.0100,-181.7102,-197.6729,15.9627
C384,207.2286,-119.4900,-181.7102,-197.6725,15.9623
D402,-207.2286,-119.4900,-181.7102,-197.6725,15.9623
B402,237.8860,-25.1360,-181.7102,-197.6724,15.9622
E384,-237.8860,-25.1360,-181.7102,-197.6724,15.9622
B384,177.6790,160.1620,-181.7102,-197.6722,15.9620
E402,-177.6790,160.1620,-181.7102,-197.6722,15.9620
A384,-97.4169,218.4760,-181.7102,-197.6720,15.9618
A402,97.4169,218.4760,-181.7102,-197.6720,15.9618
C416,162.8886,-174.9410,-181.9420,-197.8236,15.8816
D421,-162.8886,-174.9410,-181.9420,-197.8236,15.8816
C421,116.0441,-208.9760,-181.9420,-197.8233,15.8813
D416,-116.0441,-208.9760,-181.9420,-197.8233,15.8813
B421,234.6078,45.7880,-181.9420,-197.8230,15.8810
E416,-234.6078,45.7880,-181.9420,-197.8230,15.8810
B416,216.7148,100.8570,-181.9420,-197.8229,15.8809
E421,-216.7148,100.8570,-181.9420,-197.8229,15.8809
A416,-28.9515,237.2750,-181.9420,-197.8226,15.8806
A421,28.9515,237.2750,-181.9420,-197.8226,15.8806
C420,124.8601,-203.4350,-182.3842,-198.1119,15.7277
D417,-124.8601,-203.4350,-182.3842,-198.1119,15.7277
D420,-154.8950,-181.6140,-182.3842,-198.1114,15.7272
C417,154.8951,-181.6140,-182.3842,-198.1113,15.7271
B420,232.0628,55.8840,-182.3842,-198.1113,15.7271
E417,-232.0628,55.8840,-182.3842,-198.1113,15.7271
A417,-18.5626,237.9740,-182.3842,-198.1112,15.7270
A420,18.5626,237.9740,-182.3842,-198.1112,15.7270
B417,220.5905,91.1930,-182.3842,-198.1110,15.7268
E420,-220.5905,91.1930,-182.3842,-198.1110,15.7268
C418,145.1256,-189.1990,-182.7081,-198.3231,15.6150
D419,-145.1256,-189.1990,-182.7081,-198.3231,15.6150
C419,135.0933,-196.4880,-182.7081,-198.3231,15.6150
D418,-135.0933,-196.4880,-182.7081,-198.3231,15.6150
B419,228.6178,67.7630,-182.7081,-198.3227,15.6146
E418,-228.6178,67.7630,-182.7081,-198.3227,15.6146
B418,224.7858,79.5570,-182.7081,-198.3227,15.6146
E419,-224.7858,79.5570,-182.7081,-198.3227,15.6146
A418,-6.2003,238.3690,-182.7081,-198.3222,15.6141
A419,6.2003,238.3690,-182.7081,-198.3222,15.6141
C401,59.5954,-230.2000,-183.5655,-198.8847,15.3192
D385,-59.5954,-230.2000,-183.5655,-198.8847,15.3192
C385,200.5177,-127.8140,-183.5655,-198.8845,15.3190
D401,-200.5177,-127.8140,-183.5655,-198.8845,15.3190
B401,237.3497,-14.4570,-183.5655,-198.8843,15.3188
E385,-237.3497,-14.4570,-183.5655,-198.8843,15.3188
B385,183.5221,151.2070,-183.5655,-198.8843,15.3188
E401,-183.5221,151.2070,-183.5655,-198.8843,15.3188
A385,-87.0948,221.2660,-183.5655,-198.8839,15.3184
A401,87.0948,221.2660,-183.5655,-198.8839,15.3184
C377,19.8429,-236.9030,-183.6386,-198.9328,15.2942
D354,-19.8429,-236.9030,-183.6386,-198.9328,15.2942
B377,231.4405,-54.3350,-183.6386,-198.9324,15.2938
E354,-231.4405,-54.3350,-183.6386,-198.9324,15.2938
C354,219.1768,-92.0790,-183.6386,-198.9324,15.2938
D377,-219.1768,-92.0790,-183.6386,-198.9324,15.2938
B354,155.3017,179.9960,-183.6386,-198.9321,15.2935
E377,-155.3017,179.9960,-183.6386,-198.9321,15.2935
A354,-123.1951,203.3230,-183.6386,-198.9319,15.2933
A377,123.1951,203.3230,-183.6386,-198.9319,15.2933
B400,236.5036,-3.7590,-185.1812,-199.9498,14.7686
E386,-236.5036,-3.7590,-185.1812,-199.9498,14.7686
C400,69.5083,-226.0900,-185.1812,-199.9498,14.7686
D386,-69.5083,-226.0900,-185.1812,-199.9498,14.7686
C386,193.5452,-135.9720,-185.1812,-199.9497,14.7685
D400,-193.5452,-135.9720,-185.1812,-199.9497,14.7685
B386,189.1257,142.0550,-185.1812,-199.9497,14.7685
E400,-189.1257,142.0550,-185.1812,-199.9497,14.7685
A386,-76.6590,223.7670,-185.1812,-199.9494,14.7682
A400,76.6590,223.7670,-185.1812,-199.9494,14.7682
C376,29.7184,-234.1380,-185.8393,-200.3866,14.5473
D355,-29.7184,-234.1380,-185.8393,-200.3866,14.5473
C355,213.4953,-100.6160,-185.8393,-200.3866,14.5473
D376,-213.4953,-100.6160,-185.8393,-200.3866,14.5473
E355,-231.8622,-44.0880,-185.8393,-200.3866,14.5473
B376,231.8623,-44.0880,-185.8393,-200.3865,14.5472
B355,161.6657,171.9540,-185.8393,-200.3863,14.5470
E376,-161.6657,171.9540,-185.8393,-200.3863,14.5470
A355,-113.5804,206.8900,-185.8393,-200.3863,14.5470
A376,113.5804,206.8900,-185.8393,-200.3863,14.5470
C399,79.3305,-221.6840,-186.5552,-200.8635,14.3083
D387,-79.3305,-221.6840,-186.5552,-200.8635,14.3083
C387,186.3200,-143.9520,-186.5552,-200.8632,14.3080
D399,-186.3200,-143.9520,-186.5552,-200.8632,14.3080
B399,235.3489,6.9440,-186.5552,-200.8632,14.3080
E387,-235.3489,6.9440,-186.5552,-200.8632,14.3080
A387,-66.1232,225.9760,-186.5552,-200.8630,14.3078
A399,66.1232,225.9760,-186.5552,-200.8630,14.3078
B387,194.4825,132.7180,-186.5552,-200.8628,14.3076
E399,-194.4825,132.7180,-186.5552,-200.8628,14.3076
C326,223.7160,-72.6890,-186.8356,-201.0505,14.2149
E326,-223.7160,-72.6890,-186.8356,-201.0505,14.2149
D326,0.0000,-235.2290,-186.8356,-201.0503,14.2147
B326,138.2641,190.3050,-186.8356,-201.0498,14.2142
A326,-138.2641,190.3050,-186.8356,-201.0498,14.2142
C398,88.6738,-217.0800,-187.7581,-201.6689,13.9108
D388,-88.6738,-217.0800,-187.7581,-201.6689,13.9108
C388,179.0543,-151.4150,-187.7581,-201.6686,13.9105
D398,-179.0543,-151.4150,-187.7581,-201.6686,13.9105
B398,233.8577,17.2530,-187.7581,-201.6683,13.9102
E388,-233.8577,17.2530,-187.7581,-201.6683,13.9102
B388,199.3354,123.5010,-187.7581,-201.6683,13.9102
E398,-199.3354,123.5010,-187.7581,-201.6683,13.9102
A388,-55.8582,227.7440,-187.7581,-201.6676,13.9095
A398,55.8582,227.7440,-187.7581,-201.6676,13.9095
C375,39.7125,-230.7960,-188.1385,-201.9244,13.7859
D356,-39.7125,-230.7960,-188.1385,-201.9244,13.7859
C356,207.2286,-109.0880,-188.1385,-201.9244,13.7859
D375,-207.2286,-109.0880,-188.1385,-201.9244,13.7859
B375,231.7723,-33.5510,-188.1385,-201.9241,13.7856
E356,-231.7723,-33.5510,-188.1385,-201.9241,13.7856
B356,167.7869,163.3760,-188.1385,-201.9239,13.7854
E375,-167.7869,163.3760,-188.1385,-201.9239,13.7854
A356,-103.5306,210.0610,-188.1385,-201.9238,13.7853
A375,103.5306,210.0610,-188.1385,-201.9238,13.7853
C397,97.9091,-212.2120,-188.7322,-202.3245,13.5923
D389,-97.9091,-212.2120,-188.7322,-202.3245,13.5923
C389,171.5705,-158.6940,-188.7322,-202.3244,13.5922
D397,-171.5705,-158.6940,-188.7322,-202.3244,13.5922
A389,-45.5253,229.2330,-188.7322,-202.3242,13.5920
A397,45.5253,229.2330,-188.7322,-202.3242,13.5920
B389,203.9455,114.1340,-188.7322,-202.3241,13.5919
E397,-203.9455,114.1340,-188.7322,-202.3241,13.5919
B397,232.0817,27.5400,-188.7322,-202.3241,13.5919
E389,-232.0817,27.5400,-188.7322,-202.3241,13.5919
B351,224.6131,-62.5440,-189.4129,-202.7847,13.3718
E327,-224.6131,-62.5440,-189.4129,-202.7847,13.3718
C351,9.9256,-232.9470,-189.4129,-202.7847,13.3718
D327,-9.9256,-232.9470,-189.4129,-202.7847,13.3718
C327,218.4788,-81.4240,-189.4129,-202.7846,13.3717
D351,-218.4788,-81.4240,-189.4129,-202.7846,13.3717
B327,144.9529,182.6240,-189.4129,-202.7846,13.3717
E351,-144.9529,182.6240,-189.4129,-202.7846,13.3717
A327,-128.8929,194.2930,-189.4129,-202.7841,13.3712
A351,128.8929,194.2930,-189.4129,-202.7841,13.3712
C396,107.0251,-207.0850,-189.4763,-202.8280,13.3517
D390,-107.0251,-207.0850,-189.4763,-202.8280,13.3517
B396,230.0228,37.7940,-189.4763,-202.8275,13.3512
E390,-230.0228,37.7940,-189.4763,-202.8275,13.3512
C390,163.8777,-165.7800,-189.4763,-202.8274,13.3511
D396,-163.8777,-165.7800,-189.4763,-202.8274,13.3511
A390,-35.1369,230.4440,-189.4763,-202.8272,13.3509
A396,35.1369,230.4440,-189.4763,-202.8272,13.3509
B390,208.3071,104.6290,-189.4763,-202.8271,13.3508
E396,-208.3071,104.6290,-189.4763,-202.8271,13.3508
C395,116.0107,-201.7060,-189.9897,-203.1763,13.1866
D391,-116.0107,-201.7060,-189.9897,-203.1763,13.1866
C391,155.9852,-172.6630,-189.9897,-203.1762,13.1865
D395,-155.9852,-172.6630,-189.9897,-203.1762,13.1865
B395,227.6838,48.0020,-189.9897,-203.1758,13.1861
E391,-227.6838,48.0020,-189.9897,-203.1758,13.1861
B391,212.4149,94.9950,-189.9897,-203.1757,13.1860
E395,-212.4149,94.9950,-189.9897,-203.1757,13.1860
A391,-24.7056,231.3740,-189.9897,-203.1754,13.1857
A395,24.7056,231.3740,-189.9897,-203.1754,13.1857
C374,49.7509,-227.1760,-190.1469,-203.2831,13.1362
D357,-49.7509,-227.1760,-190.1469,-203.2831,13.1362
C357,200.6838,-117.5170,-190.1469,-203.2828,13.1359
D374,-200.6838,-117.5170,-190.1469,-203.2828,13.1359
B374,231.4315,-22.8850,-190.1469,-203.2828,13.1359
E357,-231.4315,-22.8850,-190.1469,-203.2828,13.1359
B357,173.7803,154.5470,-190.1469,-203.2826,13.1357
E374,-173.7803,154.5470,-190.1469,-203.2826,13.1357
A357,-93.2817,213.0330,-190.1469,-203.2823,13.1354
A374,93.2817,213.0330,-190.1469,-203.2823,13.1354
C392,146.3467,-180.3950,-190.4739,-203.5055,13.0316
D394,-146.3467,-180.3950,-190.4739,-203.5055,13.0316
C394,126.3425,-194.9290,-190.4739,-203.5055,13.0316
D392,-126.3425,-194.9290,-190.4739,-203.5055,13.0316
B392,216.7898,83.4390,-190.4739,-203.5052,13.0313
E394,-216.7898,83.4390,-190.4739,-203.5052,13.0313
B394,224.4307,59.9230,-190.4739,-203.5052,13.0313
E392,-224.4307,59.9230,-190.4739,-203.5052,13.0313
A392,-12.3633,231.9640,-190.4739,-203.5047,13.0308
A394,12.3633,231.9640,-190.4739,-203.5047,13.0308
C393,136.4603,-187.8210,-190.6355,-203.6156,12.9801
D393,-136.4603,-187.8210,-190.6355,-203.6156,12.9801
A393,0.0000,232.1600,-190.6355,-203.6154,12.9799
B393,220.7973,71.7420,-190.6355,-203.6152,12.9797
E393,-220.7973,71.7420,-190.6355,-203.6152,12.9797
C350,19.8391,-230.3800,-191.7586,-204.3839,12.6253
D328,-19.8391,-230.3800,-191.7586,-204.3839,12.6253
C328,212.9743,-90.0590,-191.7586,-204.3836,12.6250
D350,-212.9743,-90.0590,-191.7586,-204.3836,12.6250
B350,225.2356,-52.3230,-191.7586,-204.3835,12.6249
E328,-225.2356,-52.3230,-191.7586,-204.3835,12.6249
A328,-119.3641,198.0430,-191.7586,-204.3834,12.6248
A350,119.3641,198.0430,-191.7586,-204.3834,12.6248
B328,151.4645,174.7210,-191.7586,-204.3832,12.6246
E350,-151.4645,174.7210,-191.7586,-204.3832,12.6246
C373,59.7408,-223.2410,-191.9233,-204.4966,12.5733
D358,-59.7408,-223.2410,-191.9233,-204.4966,12.5733
C358,193.8541,-125.8020,-191.9233,-204.4965,12.5732
D373,-193.8541,-125.8020,-191.9233,-204.4965,12.5732
B373,230.7760,-12.1680,-191.9233,-204.4964,12.5731
E358,-230.7760,-12.1680,-191.9233,-204.4964,12.5731
A358,-82.8866,215.7210,-191.9233,-204.4962,12.5729
A373,82.8866,215.7210,-191.9233,-204.4962,12.5729
B358,179.5492,145.4920,-191.9233,-204.4960,12.5727
E373,-179.5492,145.4920,-191.9233,-204.4960,12.5727
C372,69.6266,-219.0170,-193.4519,-205.5502,12.0983
D359,-69.6266,-219.0170,-193.4519,-205.5502,12.0983
B372,229.8138,-1.4610,-193.4519,-205.5499,12.0980
E359,-229.8138,-1.4610,-193.4519,-205.5499,12.0980
C359,186.7822,-133.8990,-193.4519,-205.5498,12.0979
D372,-186.7822,-133.8990,-193.4519,-205.5498,12.0979
B359,185.0643,136.2640,-193.4519,-205.5496,12.0977
E372,-185.0643,136.2640,-193.4519,-205.5496,12.0977
A359,-72.4062,218.1150,-193.4519,-205.5493,12.0974
A372,72.4062,218.1150,-193.4519,-205.5493,12.0974
C349,29.8508,-227.2240,-194.2112,-206.0769,11.8657
D329,-29.8508,-227.2240,-194.2112,-206.0769,11.8657
B349,225.3280,-41.8260,-194.2112,-206.0763,11.8651
E329,-225.3280,-41.8260,-194.2112,-206.0763,11.8651
C329,206.8792,-98.6060,-194.2112,-206.0763,11.8651
D349,-206.8792,-98.6060,-194.2112,-206.0763,11.8651
B329,157.7092,166.2830,-194.2112,-206.0761,11.8649
E349,-157.7092,166.2830,-194.2112,-206.0761,11.8649
A329,-109.4096,201.3750,-194.2112,-206.0759,11.8647
A349,109.4096,201.3750,-194.2112,-206.0759,11.8647
C360,179.5586,-141.8190,-194.6436,-206.3771,11.7335
D371,-179.5586,-141.8190,-194.6436,-206.3771,11.7335
C371,79.3916,-214.5950,-194.6436,-206.3769,11.7333
